year,month,date,title,institution,institution_brief,value,currency
2020,9,May 2020,Faculty of Arts Graduate Award,University of British Columbia,UBC,10000,CAD
2020,5,Sep 2019,Outstanding Sociology Graduand Award,Simon Fraser University,SFU,,
2020,5,Apr 2020,Usamah Ansari Top Student Award,Simon Fraser University,SFU,2500,CAD
2020,4,Sep 2019,Outstanding Graduating Student Award,Canadian Sociological Association,CSA,,
2019,9,May 2019,Undergraduate Open Scholarship,Simon Fraser University,SFU,1320,CAD
2019,9,May 2019,SFU Alumni Scholarship,Simon Fraser University,SFU,1000,CAD
2019,9,Sep 2019,President’s Honours Roll,Simon Fraser University,SFU,,
2019,9,Sep 2019,Dean’s Honours Roll,Simon Fraser University,SFU,,
2019,5,Jan 2019,Undergraduate Open Scholarship,Simon Fraser University,SFU,1320,CAD
2019,5,Apr 2019,SFU Alumni Scholarship,Simon Fraser University,SFU,1000,CAD
2019,5,May 2019,President’s Honours Roll,Simon Fraser University,SFU,,
2019,5,May 2019,Dean’s Honours Roll,Simon Fraser University,SFU,,
2019,4,Jan 2019,"1st Place, 2018 SLC Writing Contest, Upper Division",Simon Fraser University,SFU,200,CAD
2019,1,Sep 2018,Dossa Family Undergraduate Scholarship,Simon Fraser University,SFU,1500,CAD
2019,1,Sep 2018,Undergraduate Open Scholarship,Simon Fraser University,SFU,1650,CAD
2019,1,Jan 2019,Dean’s Honours Roll,Simon Fraser University,SFU,,
2019,1,Jan 2019,President’s Honours Roll,Simon Fraser University,SFU,,
2018,9,Jan 2018,Undergraduate Open Scholarship,Simon Fraser University,SFU,1320,CAD
2018,9,Apr 2018,SFU Alumni Scholarship,Simon Fraser University,SFU,1000,CAD
2018,9,Sep 2018,President’s Honours Roll,Simon Fraser University,SFU,,
2018,9,Sep 2018,Dean’s Honours Roll,Simon Fraser University,SFU,,
2018,4,Jan 2018,"Honourable Mention, 2017 SLC Writing Contest",Simon Fraser University,SFU,,
2018,1,Jan 2018,Dean’s Honours Roll,Simon Fraser University,SFU,,
2018,1,Jan 2018,Dossa Family Undergraduate Scholarship,Simon Fraser University,SFU,1500,CAD
2018,1,Jan 2018,President’s Honours Roll,Simon Fraser University,SFU,,
