year,month,date,title,institution,institution_brief,value,currency
2021,4,Apr 2021,Canada Graduate Scholarships-Master's, Social Sciences and Humanities Research Council of Canada, SSHRC, "$17,500", CAD
2021,2,Feb 2021,Patricia Marchak International Research Scholarship, University of British Columbia,UBC,,
2021,2,Feb 2021,Sociology Graduate Scholarship, University of British Columbia,UBC,$300,CAD
2020,9,Sep 2020,Faculty of Arts Graduate Award,University of British Columbia,UBC,"$10,000",CAD
2020,5,May 2020,Outstanding Sociology Graduand Award,Simon Fraser University,SFU,,
2020,5,May 2020,Usamah Ansari Top Student Award,Simon Fraser University,SFU,"$2,500",CAD
2020,4,Apr 2020,Outstanding Graduating Student Award,Canadian Sociological Association,CSA,,
2019,9,Sep 2019,Undergraduate Open Scholarship,Simon Fraser University,SFU,"$1,320",CAD
2019,9,Sep 2019,SFU Alumni Scholarship,Simon Fraser University,SFU,"$1,000",CAD
2019,9,Sep 2019,President’s Honours Roll,Simon Fraser University,SFU,,
2019,9,Sep 2019,Dean’s Honours Roll,Simon Fraser University,SFU,,
2019,5,May 2019,Undergraduate Open Scholarship,Simon Fraser University,SFU,"$1,320",CAD
2019,5,May 2019,SFU Alumni Scholarship,Simon Fraser University,SFU,"$1,000",CAD
2019,5,May 2019,President’s Honours Roll,Simon Fraser University,SFU,,
2019,5,May 2019,Dean’s Honours Roll,Simon Fraser University,SFU,,
2019,4,Apr 2019,"1st Place, 2018 SLC Writing Contest, Upper Division",Simon Fraser University,SFU,$200,CAD
2019,1,Jan 2019,Dossa Family Undergraduate Scholarship,Simon Fraser University,SFU,"$1,500",CAD
2019,1,Jan 2019,Undergraduate Open Scholarship,Simon Fraser University,SFU,"$1,650",CAD
2019,1,Jan 2019,Dean’s Honours Roll,Simon Fraser University,SFU,,
2019,1,Jan 2019,President’s Honours Roll,Simon Fraser University,SFU,,
2018,9,Sep 2018,Undergraduate Open Scholarship,Simon Fraser University,SFU,"$1,320",CAD
2018,9,Sep 2018,SFU Alumni Scholarship,Simon Fraser University,SFU,"$1,000",CAD
2018,9,Sep 2018,President’s Honours Roll,Simon Fraser University,SFU,,
2018,9,Sep 2018,Dean’s Honours Roll,Simon Fraser University,SFU,,
2018,4,Apr 2018,"Honourable Mention, 2017 SLC Writing Contest",Simon Fraser University,SFU,,
2018,1,Jan 2018,Dean’s Honours Roll,Simon Fraser University,SFU,,
2018,1,Jan 2018,Dossa Family Undergraduate Scholarship,Simon Fraser University,SFU,"$1,500",CAD
2018,1,Jan 2018,President’s Honours Roll,Simon Fraser University,SFU,,
